Event Number,Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm)
1229,338.13,0,0
1230,623.64,0,0
1231,837.48,0,0
1232,209.33,118.28,43.87
1233,416.73,0,0
1234,539.06,326.82,289.55
1235,246.72,0,0
1236,585.43,0,0
1237,366.15,56.42,0
1238,141.17,107.39,0
1239,943.21,0,0
1240,831.63,0,0
1241,123.15,0,0
1242,443.33,0,0
1243,162.53,0,0
1244,123.94,0,0
1245,320.58,233.81,211.41
1246,859.96,0,0
1247,71.97,0,0
1248,83.3,0,0
1249,513.58,111.91,80.01
1250,79.95,0,0
1251,311.11,298.86,196.01
1252,107.72,0,0
1253,387.49,138.34,0
1254,412.19,0,0
1255,191.69,144.28,0
1256,167.46,118.33,0
1257,146.43,88.62,0
1258,524.6,0,0
1259,300.75,154.56,101.83
1260,62.99,0,0
1261,505.15,0,0
1262,292.45,93.76,0
1263,296.9,65.24,0
1264,765.48,0,0
1265,262.9,0,0
1266,309.83,291.74,251.6
1267,102.96,0,0
1268,114.43,0,0
1269,213.91,156.21,58.12
1270,91.42,0,0
1271,205.2,186.84,165.76
1272,326.07,0,0
1273,130.7,73.66,0
1274,550.2,0,0
1275,638.31,256.57,0
1276,665.68,0,0
1277,362.4,0,0
1278,647.73,0,0
1279,151.92,0,0
1280,359.36,0,0
1281,84.71,0,0
1282,252.42,243.21,129.66
1283,708.37,0,0
1284,168.03,81.71,0
1285,91.4,0,0
1286,614.87,0,0
1287,390.17,0,0
1288,383.93,0,0
1289,557.97,0,0
1290,527.95,0,0
1291,315.4,0,0
1292,133.4,129.72,101.1
1293,304.13,164.12,0
1294,917.43,0,0
1295,349.42,0,0
1296,277.46,67.32,0
1297,134.29,0,0
1298,286.59,275.68,237.25
1299,105.12,0,0
1300,569.17,442.59,374.5
1301,146.7,0,0
1302,126.15,0,0
1303,162.08,107.67,0
1304,120.69,0,0
1305,162.59,65.05,0
1306,233.7,109.03,103.58
1307,64.76,0,0
1308,126.41,114.91,0
1309,120.81,0,0
1310,83.7,0,0
1311,772.19,0,0
1312,835.16,226.43,187.8
1313,320.99,85.54,0
1314,472.43,0,0
1315,388.8,352.46,309.7
1316,444.93,0,0
1317,567.01,0,0
1318,491.16,0,0
1319,977.71,211.14,69.89
1320,769.03,0,0
1321,95.56,0,0
1322,984.35,0,0
1323,440.53,368.26,168.26
1324,335.99,254.79,155.23
1325,66.48,64.05,0
1326,129.07,0,0
1327,385.78,122.03,0
1328,337.87,295.37,268.73
1329,218.94,146.77,106.59
1330,103.72,0,0
1331,453.17,0,0
1332,375.26,179.44,0
1333,1002.28,47.94,0
1334,441.19,0,0
1335,322.83,0,0
1336,319.21,204.25,203.89
1337,952.55,129.19,0
1338,253,183.18,157.02
1339,135.47,0,0
1340,170.95,0,0
1341,665.27,0,0
1342,381.56,0,0
1343,315.23,235.84,0
1344,669.52,0,0
1345,85.28,0,0
1346,461.27,0,0
1347,1127.43,0,0
1348,262.96,0,0
1349,110.02,0,0
1350,183.03,0,0
1351,905.79,0,0
1352,323.6,85.99,0
1353,160.37,0,0
1354,679.98,0,0
1355,157.16,76.08,0
1356,134.98,0,0
1357,328.74,0,0
1358,659.07,0,0
1359,117.17,0,0
1360,69.02,0,0
1361,306.39,109.64,74.71
1362,357.75,113.12,0
1363,841.4,0,0
1364,365.68,0,0
1365,128.38,0,0
1366,148.87,0,0
1367,190.43,133.09,108.05
1368,346.88,0,0
1369,510.32,0,0
1370,854.71,0,0
1371,63.04,0,0
1372,122.87,49.2,0
1373,125.97,61.1,0
1374,373.62,0,0
1375,529.28,0,0
1376,296.49,149.01,0
1377,565.16,0,0
1378,129.34,0,0
1379,318.01,114.98,0
1380,164.52,0,0
1381,533.3,0,0
1382,386.49,0,0
1383,95.73,0,0
1384,188.63,147.03,0
1385,941.26,0,0
1386,275.96,0,0
1387,63.24,0,0
1388,609.73,0,0
1389,648.62,0,0
1390,336.46,281.13,0
1391,873.2,159.05,89.02
1392,809.41,0,0
1393,564.62,0,0
1394,668.22,0,0
1395,833.56,0,0
1396,608.38,0,0
1397,414.14,0,0
1398,655.95,0,0
1399,163.82,124.34,68.86
1400,1159.17,0,0
1401,308.43,0,0
1402,154.19,0,0
1403,200.96,102.5,0
1404,380.99,0,0
1405,531.96,71.81,0
1406,650.43,141.8,74.6
1407,525.57,216.47,208.66
1408,95.21,64.21,0
1409,136.54,127.01,0
1410,550.3,0,0
1411,39.7,0,0
1412,142.23,0,0
1413,477.05,118.62,0
1414,811.16,0,0
1415,66,0,0
1416,566.63,0,0
1417,532.07,0,0
1418,899.6,0,0
1419,260.28,153.8,84.11
1420,812.57,0,0
1421,480.01,0,0
1422,155.11,0,0
1423,332.28,0,0
1424,518.78,0,0
1425,99.93,0,0
1426,724.15,183.33,0
1427,131.75,0,0
1428,422.9,0,0
1429,223.66,0,0
1430,294.39,0,0
1431,674.13,0,0
1432,864.5,0,0
1433,104.78,0,0
1434,128.03,0,0
1435,385.09,0,0
1436,499.61,0,0
1437,450.22,223.39,187.76
1438,931,0,0
1439,158.32,0,0
1440,307.02,169.72,163.84
1441,807.49,0,0
1442,527.15,0,0
1443,87.61,0,0
1444,488.32,0,0
1445,641.88,0,0
1446,92.32,0,0
1447,183.47,175.71,91.77
1448,435.29,0,0
1449,296.42,0,0
1450,211.07,0,0
1451,365.12,81.74,69.68
1452,584.44,0,0
1453,199.68,186.8,92.18
1454,515.84,0,0
1455,241.9,183.63,0
1456,631.97,0,0
1457,725.49,0,0
1458,890.74,0,0
1459,183.08,90.69,0
1460,366.45,142.8,131.66
1461,690.09,0,0
1462,111.35,0,0
1463,315.57,275.19,195.39
1464,451.63,0,0
1465,104.44,0,0
1466,53.76,0,0
1467,93.89,0,0
1468,140.2,114.28,0
1469,141.06,103.93,0
1470,1012.93,0,0
1471,88.7,81.96,0
1472,1197.07,0,0
1473,330.28,0,0
1474,368.05,304.49,207.92
1475,121.91,0,0
1476,982.57,0,0
1477,1087.55,86.61,0
1478,372.97,231.91,169.58
1479,388.08,362.33,302.06
1480,402.48,0,0
1481,279.78,219.27,103.56
1482,136.23,132.14,107.26
1483,348.42,0,0
1484,630.33,0,0
1485,99.23,0,0
1486,582.44,0,0
1487,332.53,294.16,290.45
1488,520.39,0,0
1489,626.21,0,0
1490,83.36,0,0
1491,521.4,405.76,333.22
1492,291.62,265.66,264.68
1493,59.44,0,0
1494,721.85,0,0
1495,288.45,141.5,0
1496,353.73,331.46,295.77
1497,151.43,0,0
1498,1004.97,0,0
1499,190.28,106.83,0
1500,53.21,0,0
1501,241.85,0,0
1502,268.75,0,0
1503,164.74,53.83,0
1504,1022.93,0,0
1505,412.14,0,0
1506,112.72,0,0
1507,80.43,0,0
1508,353.37,0,0
1509,259.88,217.37,187.7
1510,854.3,0,0
1511,247.15,108.45,91.81
1512,377.04,353.26,292.57
1513,539.53,0,0
1514,95.31,0,0
1515,546.37,0,0
1516,508.54,0,0
1517,104.08,0,0
1518,176.01,0,0
1519,496.64,433.72,293.95
1520,265.06,0,0
1521,675.76,113.76,0
1522,63.35,0,0
1523,170.49,0,0
1524,170.93,0,0
1525,184.9,0,0
1526,220.02,213.92,0
1527,323.1,0,0
1528,137.87,95.84,0
1529,313.88,0,0
1530,630.12,0,0
1531,208.47,136.83,105.67
1532,96.49,0,0
1533,432.69,0,0
1534,525.98,0,0
1535,194.29,169.43,161.65
1536,555.9,0,0
1537,381.9,0,0
1538,186.87,77.06,69.33
1539,850.61,0,0
1540,475.32,161.16,0
1541,766.31,0,0
1542,142.05,0,0
1543,544.12,443.63,404.35
1544,689.86,102.47,0
1545,808.27,0,0
1546,102.55,0,0
1547,664.89,0,0
1548,336.2,273.35,200.44
1549,437.42,215.22,172.18
1550,121.89,0,0
1551,463.48,0,0
1552,392.38,0,0
1553,117.34,0,0
1554,111.79,0,0
1555,804.68,0,0
1556,480.18,246.52,0
1557,244.83,0,0
1558,145.67,0,0
1559,224.07,155.94,138.44
1560,251.64,80.67,0
1561,495.08,0,0
1562,595.29,141.71,0
1563,380.79,128.76,0
1564,430.31,0,0
1565,82.68,0,0
1566,156.46,0,0
1567,154.57,0,0
1568,190.56,0,0
1569,100.51,0,0
1570,720.74,0,0
1571,147.91,0,0
1572,314.45,0,0
1573,926.33,0,0
1574,622.2,0,0
1575,328.5,257.56,217.38
1576,309.14,307.21,288.69
1577,254.88,47.69,0
1578,398.72,0,0
1579,608.49,0,0
1580,460.3,0,0
1581,1115.89,0,0
1582,734.44,0,0
1583,297.9,0,0
1584,373.8,84.13,0
1585,375.96,0,0
1586,266.74,189.95,0
1587,578.52,0,0
1588,232.17,195.92,0
1589,679.14,0,0
1590,43.09,0,0
1591,736.67,0,0
1592,376.38,0,0
1593,544.25,120.41,0
1594,302.19,152.38,83.26
1595,461.89,0,0
1596,643.3,0,0
1597,958.68,0,0
1598,143.31,129.23,83.78
1599,118.54,0,0
1600,166.2,0,0
1601,676.19,0,0
1602,685.12,105.14,0
1603,121.26,0,0
1604,275.77,52.77,0
1605,615.6,0,0
1606,662.4,0,0
1607,633.3,0,0
1608,288.85,0,0
1609,1048.45,0,0
1610,130.56,123.7,0
1611,553.68,0,0
1612,575.39,0,0
1613,103.03,0,0
1614,412.51,355.73,345.74
1615,117.89,116.76,0
1616,314.76,0,0
1617,216.32,207.55,137.9
1618,89.54,0,0
1619,721.47,0,0
1620,340.72,121.45,0
1621,231.17,154.83,72.54
1622,321.25,0,0
1623,574.23,0,0
1624,92.6,65.57,0
1625,140.9,0,0
1626,420.82,354.69,266.07
1627,640.01,0,0
1628,514.95,0,0
1629,440.18,0,0
1630,311.02,147.82,121.53
1631,310.28,296.42,243.23
1632,133.84,0,0
1633,96.25,0,0
1634,226.62,0,0
1635,315.66,0,0
1636,259.88,0,0
1637,380.75,104.9,0
1638,301.51,69.94,0
1639,658.44,0,0
1640,160.42,123.98,88.39
1641,528.3,0,0
1642,101.63,0,0
1643,387.68,357.48,314.11
1644,81.81,0,0
1645,140.51,0,0
1646,100.46,81.88,0
1647,767.04,0,0
1648,114.42,0,0
1649,130.42,0,0
1650,598.39,94.36,0
1651,565.47,0,0
1652,234.46,0,0
1653,109.18,0,0
1654,1024.99,0,0
1655,943,0,0
1656,205.71,188.94,169.51
1657,155.73,111.43,0
1658,796.1,55.38,0
1659,211.8,163.47,92.1
1660,780.96,0,0
1661,218.37,0,0
1662,376.98,0,0
1663,297.47,0,0
1664,247.49,226.83,161.8
1665,94.24,47.46,0
1666,142.35,85.46,0
1667,532.71,0,0
1668,740.22,0,0
1669,680.48,0,0
1670,165.44,0,0
1671,76.97,0,0
1672,956.43,0,0
1673,399.89,122.97,0
1674,238.24,167.01,165.78
1675,459.31,106.94,0
1676,71.97,0,0
1677,213.3,0,0
1678,443.55,0,0
1679,650.85,0,0
1680,82.71,80.8,0
1681,161.39,0,0
1682,432,0,0
1683,111.38,0,0
1684,129.15,125.63,0
1685,967.72,0,0
1686,430.01,382.62,307.09
1687,513.98,0,0
1688,111.1,0,0
1689,397.39,96.1,0
1690,775.15,0,0
1691,706.58,0,0
1692,691.03,0,0
1693,528.91,0,0
1694,210.48,0,0
1695,207.92,0,0
1696,546.78,0,0
1697,192.32,0,0
1698,264.91,206.24,0
1699,77.19,0,0
1700,508.26,355.3,264.51
1701,181.6,0,0
1702,667.01,0,0
1703,362.98,0,0
1704,93.06,0,0
1705,100.74,70.34,0
1706,458.3,0,0
1707,306.61,97.64,0
1708,205.55,138.39,0
1709,128.93,122.78,98.26
1710,974.07,0,0
1711,165.61,0,0
1712,146.81,0,0
1713,114.53,0,0
1714,207.34,0,0
1715,197.64,0,0
1716,1002.63,411.74,0
1717,487.76,0,0
1718,846.77,0,0
1719,236.66,167.93,159.13
1720,563.86,193.02,0
1721,438.91,0,0
1722,428.81,0,0
1723,98.99,0,0
1724,176.65,96.67,0
1725,338.77,67.31,64.78
1726,355.1,289.2,282.86
1727,628.55,52.82,0
1728,131.62,0,0
1729,406.93,87.17,0
1730,300.92,264.09,223.1
1731,187.6,172.25,0
1732,538.74,0,0
1733,154.94,73.3,0
1734,166.96,91.9,0
1735,487.09,0,0
1736,335.27,0,0
1737,893.43,0,0
1738,92.27,0,0
1739,233.74,0,0
1740,279.59,140.97,0
1741,485.17,336.41,310.14
1742,178.8,0,0
1743,680.77,0,0
1744,318.98,0,0
1745,968.94,0,0
1746,506.9,0,0
1747,63.45,0,0
1748,107.78,93.83,0
1749,139.35,49.55,0
1750,599.38,74.06,0
1751,787.93,0,0
1752,273.21,0,0
1753,110.25,0,0
1754,48.07,0,0
1755,351.95,281.2,0
1756,452.82,428.92,384.71
1757,674.12,0,0
1758,392.35,0,0
1759,323.7,0,0
1760,82.36,80.36,0
1761,460.12,0,0
1762,925.25,0,0
1763,304.5,288.09,272.13
1764,340.98,71.6,0
1765,163.03,0,0
1766,89.28,0,0
1767,523.89,410.26,335.79
1768,769.18,0,0
1769,588.22,0,0
1770,572.84,0,0
1771,316.34,197.69,109.52
1772,463.3,0,0
1773,174.64,0,0
1774,131.05,110.48,0
1775,416.07,0,0
1776,479.57,167.39,157.12
1777,456.24,392.76,322.2
1778,845.87,0,0
1779,969.97,0,0
1780,151.49,0,0
1781,102.7,0,0
1782,130.22,0,0
1783,933.66,0,0
1784,299.02,293.5,273.53
1785,636.79,57.88,0
1786,470.54,0,0
1787,522.43,116.2,0
1788,158.9,0,0
1789,1344.83,0,0
1790,102.77,0,0
1791,171.07,114.09,0
1792,507.34,0,0
1793,108.01,79.68,0
1794,179.24,115.48,0
1795,915.94,0,0
1796,763.54,0,0
1797,334.45,0,0
1798,521.63,0,0
1799,327.3,121.77,0
1800,108.41,80.7,0
1801,146.73,74.46,0
1802,511.11,0,0
1803,94.48,0,0
1804,101.96,0,0
1805,817.94,0,0
1806,107.49,0,0
1807,470.88,0,0
1808,114.28,0,0
1809,225.01,0,0
1810,212.32,106.88,100.8
1811,493.22,0,0
1812,359.69,0,0
1813,188.11,0,0
1814,323.23,0,0
1815,703.25,0,0
1816,382.69,0,0
1817,828.54,0,0
1818,120.26,97.31,0
1819,280.15,213.01,155.15
1820,115.15,0,0
1821,45.29,0,0
1822,694.29,0,0
1823,139.95,0,0
1824,521,0,0
1825,201.92,0,0
1826,110.58,0,0
1827,386.49,290.27,197.2
1828,391.52,0,0
1829,192.75,118.08,0
1830,110.05,0,0
1831,156.25,0,0
1832,295.38,283.47,198.59
1833,1026.38,0,0
1834,702.98,0,0
1835,823.37,0,0
1836,339.72,0,0
1837,962.65,0,0
1838,707.54,0,0
1839,691.57,0,0
1840,354.33,217.1,121.01
1841,314.46,0,0
1842,324.52,0,0
1843,111.87,0,0
1844,86.54,0,0
1845,132.51,0,0
1846,136.99,0,0
1847,1038.97,0,0
1848,649.34,0,0
1849,403.84,223.27,129.47
1850,594.21,0,0
1851,104.1,0,0
1852,91.32,0,0
1853,955.48,0,0
1854,109.27,80.99,0
1855,139.76,102.4,0
1856,454.79,0,0
1857,512.89,0,0
1858,212.47,191.33,0
1859,271.66,0,0
1860,656.1,0,0
1861,148.14,0,0
1862,823.71,0,0
1863,426.44,109.6,0
1864,694.2,0,0
1865,231.69,179.36,0
1866,580.34,0,0
1867,312.59,297.56,226.72
1868,225.21,0,0
1869,300.05,287.47,220.87
1870,319.3,302.79,278.32
1871,259.67,50.44,0
1872,96.49,87.37,0
1873,113.89,0,0
1874,216.24,117.08,0
1875,100.33,0,0
1876,539.96,99.39,0
1877,336.45,0,0
1878,247.01,0,0
1879,181.42,0,0
1880,532.53,129.93,0
1881,141.42,120.8,0
1882,533.34,0,0
1883,126.82,95.06,0
1884,184.08,0,0
1885,331.36,0,0
1886,968.24,0,0
1887,137.48,0,0
1888,329.48,0,0
1889,133.62,78.39,0
1890,446.39,337.84,323.41
1891,605.77,88.73,0
1892,521.51,0,0
1893,803.12,0,0
1894,475.98,0,0
1895,762.25,0,0
1896,749.33,0,0
1897,133.44,0,0
1898,155.64,0,0
1899,140.06,139.93,0
1900,375.24,0,0
1901,698.28,0,0
1902,462.72,0,0
1903,422.18,235.3,0
1904,202.2,0,0
1905,59.16,0,0
1906,80.23,0,0
1907,877.57,143.85,139.89
1908,1009.14,0,0
1909,472.98,0,0
1910,592.9,175.49,0
1911,868.18,0,0
1912,206.07,184.78,0
1913,591.01,0,0
1914,140.36,0,0
1915,123.21,94.09,0
1916,151.62,127.66,0
1917,273.75,169.32,92.18
1918,464.53,0,0
1919,597.81,0,0
1920,235.18,218.47,166.4
1921,388.47,339.28,333.18
1922,524.41,0,0
1923,163.03,72.58,0
1924,84.39,0,0
1925,452.54,40.49,0
1926,407.59,0,0
1927,109.22,0,0
1928,519.37,0,0
1929,879.83,0,0
1930,286.81,275.21,255.95
1931,341.91,315.62,250.21
1932,410.98,93.47,0
1933,653.94,0,0
1934,145.18,0,0
1935,104.21,0,0
1936,577.39,0,0
1937,278.46,114.25,0
1938,70.49,0,0
1939,504.91,43.54,0
1940,85.07,0,0
1941,263.78,146.39,101.83
1942,669.89,0,0
1943,290.66,150.11,0
1944,140.25,115.59,105.7
1945,81.81,0,0
1946,1016.39,0,0
1947,418.55,132.88,127.98
1948,415.97,0,0
1949,392.2,0,0
1950,63.71,0,0
1951,491.31,254.03,0
1952,206.77,0,0
1953,105.6,0,0
1954,201.57,161.98,131.02
1955,247.54,139.58,0
1956,211.3,137.31,0
1957,98.07,0,0
1958,769.33,59.5,0
1959,551.02,0,0
1960,208.7,103.14,0
1961,388.35,119.41,92.52
1962,140.08,0,0
1963,583.59,0,0
1964,416.83,0,0
1965,435.57,0,0
1966,191.42,116.19,114.87
1967,527.74,0,0
1968,98.37,0,0
1969,150.73,0,0
1970,593.35,0,0
1971,90.08,0,0
1972,90.64,0,0
1973,462.97,116.32,0
1974,489.61,88.53,0
1975,91.46,0,0
1976,576.55,0,0
1977,402.26,290.17,0
1978,138.65,0,0
1979,657.21,94.13,0
1980,434.16,0,0
1981,71.62,0,0
1982,689.46,0,0
1983,201.67,72.82,65.08
1984,339.4,101.53,82.63
1985,679.95,0,0
1986,518.79,0,0
1987,210.44,0,0
1988,553.75,0,0
1989,456.92,0,0
1990,329.96,146.96,0
1991,813.3,0,0
1992,422.23,218.39,184.45
1993,751.24,0,0
1994,406.18,62.36,0
1995,579.46,0,0
1996,74.42,0,0
1997,210.78,161.01,35.58
1998,109.22,101.21,0
1999,541.41,0,0
2000,711.73,0,0
2001,124.61,73.92,0
2002,82.6,0,0
2003,718.09,497.86,326.01
2004,102.41,80.03,0
2005,139.95,0,0
2006,797.01,0,0
2007,555.84,0,0
2008,648.69,0,0
2009,941.24,123.64,98.24
2010,453,405.35,398.49
2011,419.01,0,0
2012,105.43,0,0
2013,109.66,75.2,0
2014,840.74,0,0
2015,514.12,0,0
2016,127.1,0,0
2017,580.34,0,0
2018,203.95,0,0
2019,151.58,0,0
2020,674.86,159.39,0
2021,674.57,0,0
2022,565.72,0,0
2023,227.3,0,0
2024,788.8,0,0
2025,73.48,0,0
2026,608.15,0,0
2027,726.19,91.54,0
2028,67.62,0,0
2029,87.33,79.8,75.74
2030,353.72,260.98,0
2031,180.46,0,0
2032,394.61,177.3,0
2033,85.73,0,0
2034,134.6,0,0
2035,644.72,0,0
2036,721.62,0,0
2037,304.01,0,0
2038,146.89,0,0
2039,502.47,0,0
2040,170.99,110.43,0
2041,281.32,0,0
2042,703.62,0,0
2043,726.37,0,0
2044,126.86,0,0
2045,739.7,0,0
2046,115.23,65.45,0
2047,606.27,0,0
2048,483.56,0,0
2049,716.19,0,0
2050,101.4,0,0
2051,771.17,0,0
2052,637.37,0,0
2053,408.64,85.21,0
2054,1056.94,0,0
2055,169.6,0,0
2056,275.03,154.15,85
2057,214.62,182.74,106.16
2058,278.92,77.41,0
2059,985.13,0,0
2060,110.98,0,0
2061,151.71,145.2,0
2062,527.22,0,0
2063,516.81,0,0
2064,74.12,0,0
2065,588.76,0,0
2066,570.94,0,0
2067,141.82,76.74,0
2068,675.93,0,0
2069,839.59,0,0
2070,274.53,224.82,151.27
2071,140.5,0,0
2072,920.43,0,0
2073,176.8,0,0
2074,477.49,72.66,0
2075,309.47,150.98,104.6
2076,845.19,0,0
2077,821.98,0,0
2078,624.76,0,0
2079,124.98,105.63,0
2080,486.37,0,0
2081,620.08,0,0
2082,81.45,0,0
2083,511.65,0,0
2084,98.46,0,0
2085,223.56,162.21,0
2086,530.16,0,0
2087,224.86,149.84,0
2088,556.29,369.29,286.53
2089,395.19,312.17,270.35
2090,596.31,0,0
2091,416.65,0,0
2092,676.57,114.92,0
2093,388.73,0,0
2094,257.67,226.26,192.25
2095,130.05,0,0
2096,804.62,0,0
2097,672.3,0,0
2098,443.53,0,0
2099,438.57,52.63,0
2100,209.5,0,0
2101,762.43,0,0
2102,694,0,0
2103,151.18,0,0
2104,1372.71,0,0
2105,559.94,0,0
2106,247.42,136.56,132.65
2107,729.65,0,0
2108,62.14,0,0
2109,636.84,0,0
2110,1144.09,0,0
2111,84.01,0,0
2112,47.6,0,0
2113,1040.05,0,0
2114,610.21,0,0
2115,195.94,0,0
2116,149,0,0
2117,340.75,0,0
2118,197.32,0,0
2119,127.68,0,0
2120,255.35,0,0
2121,345.41,265.19,212.65
2122,569.42,0,0
2123,442.22,0,0
2124,175.02,0,0
2125,190.24,0,0
2126,886.03,0,0
2127,124.25,0,0
2128,65.81,0,0
2129,624.85,0,0
2130,485.55,70.28,0
2131,645.23,0,0
2132,232.37,0,0
2133,127.47,0,0
2134,241.76,152.97,149.77
2135,164.76,0,0
2136,221.28,0,0
2137,453.34,0,0
2138,136.49,0,0
2139,201.8,0,0
2140,254.7,115.76,0
2141,875.43,0,0
2142,233.82,215.55,150.42
2143,54.57,0,0
2144,92,65.49,64.78
2145,507.26,0,0
2146,129.31,0,0
2147,932.93,192.37,0
2148,139.53,0,0
2149,687.47,0,0
2150,321.99,274.27,216.82
2151,220.69,47.36,0
2152,548.25,0,0
2153,558.87,0,0
2154,695.76,0,0
2155,59.16,0,0
2156,153.46,0,0
2157,499.41,0,0
2158,591.26,0,0
2159,192.56,105.72,0
2160,521.81,119.45,0
2161,61.21,0,0
2162,325.94,69.68,0
2163,305.24,139.34,0
2164,141.09,122.53,0
2165,608.76,43.18,0
2166,520.5,0,0
2167,247.59,0,0
2168,126.41,112.73,0
2169,381.25,0,0
2170,195.2,0,0
2171,184.64,0,0
2172,408.28,237.56,145.06
2173,69.2,0,0
2174,155.08,128.5,0
2175,827.3,0,0
2176,666.97,0,0
2177,326.58,185.19,74.57
2178,175.08,0,0
2179,145.81,0,0
2180,128.77,52.67,0
2181,109.86,0,0
2182,708.03,0,0
2183,448.45,0,0
2184,746.17,0,0
2185,641.52,0,0
2186,77.04,71.74,0
2187,88.45,0,0
2188,156.95,0,0
2189,712.32,0,0
2190,779.95,0,0
2191,957.03,72.14,0
2192,353.69,122.67,0
2193,778.75,0,0
2194,441.74,0,0
2195,1101.23,0,0
2196,153.1,0,0
2197,141.26,0,0
2198,364.35,84.52,0
2199,617.01,0,0
2200,77.44,76.59,0
2201,235.83,157.88,0
2202,97.42,0,0
2203,332.32,0,0
2204,363.77,0,0
2205,761.01,0,0
2206,249.54,0,0
2207,91.78,0,0
2208,233.74,198.82,107.14
2209,102,0,0
2210,676.84,0,0
2211,245.29,0,0
2212,207.77,152.74,0
2213,191.08,120.82,0
2214,1025.5,0,0
2215,499.34,0,0
2216,167.29,0,0
2217,77.55,0,0
2218,489.11,0,0
2219,298.58,248.63,213.29
2220,244.32,0,0
2221,86.96,0,0
2222,107.47,0,0
2223,576.18,0,0
2224,456.16,0,0
2225,145.13,111.55,0
2226,994.98,0,0
2227,91.41,0,0
2228,191.21,87.61,81.34
2229,817.81,0,0
2230,101.25,35.58,0
2231,294.63,217.8,203.08
2232,688.81,0,0
2233,310.06,161.86,0
2234,105.04,0,0
2235,703.46,0,0
2236,137.75,0,0
2237,404.88,343.48,222.52
2238,149.53,119.95,83.82
2239,79.2,67.9,0
2240,460.38,194.35,193.42
2241,96.64,0,0
2242,354.44,108.33,0
2243,176.95,0,0
2244,96.72,0,0
2245,371.13,0,0
2246,394.8,342.9,323.55
2247,594.18,0,0
2248,187.63,93.99,79.38
2249,351.05,0,0
2250,236.12,0,0
2251,781.78,0,0
2252,398.61,332.75,259.87
2253,975.96,0,0
2254,122.23,0,0
2255,1007.12,0,0
2256,182.62,0,0
2257,369.16,50.73,0
2258,239.42,186.77,170.14
2259,95.55,0,0
2260,586.77,0,0
2261,77.18,0,0
2262,49.4,0,0
2263,388.16,149.99,117.04
2264,463.1,0,0
2265,175.7,128.61,106.15
2266,531.7,92.57,89.58
2267,120.56,0,0
2268,856.42,0,0
2269,101.98,0,0
2270,160.66,0,0
2271,675.75,153.69,0
2272,220.69,104.71,0
2273,72.95,0,0
2274,233.22,200.17,0
2275,429.4,95.32,95.24
2276,604.34,126.84,0
2277,343.86,0,0
2278,103.28,0,0
2279,193.1,92.9,0
2280,117.34,0,0
2281,656.96,0,0
2282,348.91,0,0
2283,178.95,173.7,94.06
2284,275.16,242.8,193.57
2285,473.73,0,0
2286,825.02,0,0
2287,48.79,0,0
2288,582.01,0,0
2289,181.09,0,0
2290,167.84,146.74,116.95
2291,445.65,0,0
2292,275.02,0,0
2293,583.59,0,0
2294,419.78,105.09,0
2295,224.47,215.93,188.01
2296,306.03,299.99,214.52
2297,102.84,0,0
2298,510.83,0,0
2299,166.76,138.56,84.91
2300,844.11,0,0
2301,389.08,356.57,221.63
2302,516.56,0,0
2303,677.03,0,0
2304,260.91,0,0
2305,326.77,0,0
2306,101.42,88.25,58.95
2307,152.32,95.73,94.12
2308,267.37,0,0
2309,143.12,101.42,0
2310,247.85,0,0
2311,151.42,0,0
2312,420.78,0,0
2313,407.83,0,0
2314,193.96,0,0
2315,227.2,0,0
2316,91.06,0,0
2317,110.79,0,0
2318,988.35,0,0
2319,193.32,0,0
2320,163.59,0,0
2321,808.86,0,0
2322,181.31,109.41,0
2323,159.34,0,0
2324,408.47,0,0
2325,265.89,0,0
2326,306.76,0,0
2327,139.52,65.81,0
2328,656.82,0,0
2329,635.04,0,0
2330,831.34,0,0
2331,165.6,157.58,145.4
2332,250.35,0,0
2333,280.43,0,0
2334,290.45,170.9,0
2335,119.88,0,0
2336,247.65,216.4,0
2337,116.73,0,0
2338,828.38,0,0
2339,525.9,0,0
2340,55.35,0,0
2341,131.45,0,0
2342,779.98,0,0
2343,545.69,0,0
2344,509.36,115.72,0
2345,383.6,276.75,230.03
2346,453.47,0,0
2347,420.14,0,0
2348,441.12,341.87,245.98
2349,246.4,148.74,0
2350,664.14,0,0
2351,487.33,0,0
2352,603.85,58.69,0
2353,704.47,0,0
2354,1059.91,0,0
2355,112.44,0,0
2356,624.58,0,0
2357,205.3,76.86,0
2358,401.41,0,0
2359,84.75,0,0
2360,418.79,291.36,244.14
2361,774.47,0,0
2362,746.13,0,0
2363,382.04,0,0
2364,155.61,85.69,0
2365,217.84,0,0
2366,121.01,0,0
2367,175.59,0,0
2368,406.33,0,0
2369,422.6,92.58,0
2370,350.11,146.97,0
2371,910.97,0,0
2372,127.6,106.87,0
2373,119.04,0,0
2374,386.05,193.85,0
2375,163.28,85.18,0
2376,67.65,0,0
2377,73.01,0,0
2378,387.74,387.28,349.22
2379,131.48,0,0
2380,152.63,0,0
2381,112.5,0,0
2382,100.21,0,0
2383,832,0,0
2384,126.1,115.37,0
2385,431.53,0,0
2386,115.5,0,0
2387,262.66,0,0
2388,753.62,107.19,0
2389,292.7,241.13,196.16
2390,82.29,0,0
2391,713.24,0,0
2392,456.8,140.07,0
2393,700.43,0,0
2394,598.95,0,0
2395,558.39,0,0
2396,75.02,0,0
2397,877.62,0,0
