Event Number,Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm)
289,100.64,0,0
290,197.66,132.11,0
291,596.13,0,0
292,1101.43,0,0
293,163.53,0,0
294,451.31,0,0
295,453.38,286.91,233.43
296,268.67,235.46,139.97
297,128.13,0,0
298,566.63,386.91,269.45
299,350.02,0,0
300,212.43,114.36,0
301,62.86,0,0
302,243.16,0,0
303,567.04,0,0
304,181.65,85.89,0
305,1026.11,0,0
306,367.06,284.93,233.34
307,1100.68,0,0
308,525.63,0,0
309,530.59,0,0
310,908.6,126.02,108.27
311,620.9,0,0
312,731.87,0,0
313,103.74,0,0
314,123.36,0,0
315,842.68,0,0
316,939.57,0,0
317,898.76,0,0
318,79.04,0,0
319,779.01,0,0
320,398.72,274.83,0
321,490.96,171.53,0
322,129.83,0,0
323,187.23,0,0
324,48.14,0,0
325,185.28,120.24,0
326,306.55,0,0
327,167.3,131.75,92.25
328,203.71,0,0
329,208.8,102.81,86.47
330,686.9,75.42,0
331,106.19,0,0
332,374.85,0,0
333,105.14,0,0
334,329.67,318.87,131.35
335,430.39,0,0
336,555.29,0,0
337,327.55,172.02,0
338,149.87,0,0
339,118.94,0,0
340,153.86,0,0
341,110.55,0,0
342,870.51,0,0
343,515.45,0,0
344,628.91,0,0
345,149.98,132.65,0
346,46.14,0,0
347,92.33,0,0
348,284.93,280.01,253.28
349,98.05,0,0
350,41.74,0,0
351,321.21,297.69,235.1
352,122.43,65.27,41.84
353,502.56,152.52,0
354,525.61,353.46,332.82
355,321.16,110.21,0
356,69.52,0,0
357,216.24,0,0
358,423.77,0,0
359,429.75,284.08,102.15
360,503.9,0,0
361,480.61,0,0
362,539.2,0,0
363,544.45,117.53,0
364,345.46,85.68,0
365,204.61,0,0
366,586.63,0,0
367,595.07,109.05,0
368,245.34,219.36,151.41
369,563.6,413.33,388.93
370,108.64,105.68,0
371,207.87,124.25,0
372,76.91,0,0
373,923.89,126.51,62.05
374,408.22,171.97,0
375,284.06,283.64,254.06
376,298.28,0,0
377,699.39,0,0
378,126.4,0,0
379,340.63,338.47,309.01
380,540.98,0,0
381,546.96,302.32,264.63
382,503.3,0,0
383,99.29,0,0
384,65.49,0,0
385,122.84,0,0
386,890.24,0,0
387,234.07,206.18,149.28
388,652.26,0,0
389,165.47,100.55,0
390,173.4,0,0
391,503.82,205.89,118.75
392,84.41,0,0
393,1154.32,0,0
394,493.63,0,0
395,574.79,0,0
396,199.29,120.02,0
397,380.08,0,0
398,1392.33,0,0
399,107.08,0,0
400,160.29,0,0
401,762.43,0,0
402,418.78,57.18,0
403,519.5,0,0
404,492.66,0,0
405,747.01,0,0
406,348.05,267.03,198.32
407,394.17,0,0
408,933.52,0,0
409,216.27,168.7,56.94
410,151.88,108.14,0
411,114.29,43.1,0
412,439.56,190.19,149.09
413,131.1,0,0
414,223.54,150.01,0
415,425.23,0,0
416,348.47,171.23,0
417,356.41,348.8,278.15
418,100.1,0,0
419,371.46,291.67,219.86
420,484.92,149.28,110.48
421,272.51,0,0
422,91.51,0,0
423,470.39,0,0
424,465.73,0,0
425,345.8,0,0
426,94.86,0,0
427,236.39,0,0
428,64.68,0,0
429,143.54,0,0
430,776.79,0,0
431,433.94,0,0
432,445.42,0,0
433,670.22,0,0
434,358.16,60.67,0
435,391.97,0,0
436,242.46,0,0
437,601,0,0
438,531.76,0,0
439,745.88,0,0
440,121.59,0,0
441,345.25,267.13,236.02
442,92.59,0,0
443,182.79,0,0
444,424.24,292.01,0
445,686.79,88.67,0
446,517.69,0,0
447,326.33,207.91,169.79
448,93.2,0,0
449,393.8,373.54,364.45
450,104.3,0,0
451,147.35,135.9,0
452,181.02,0,0
453,437.11,379.8,177.26
454,408.77,0,0
455,254.84,0,0
456,763.93,0,0
457,231.3,0,0
458,495.15,0,0
459,288.44,146.05,105.78
460,134.6,0,0
461,96.52,0,0
462,405.41,189.8,127.18
463,494.61,0,0
464,113.85,0,0
465,128.22,0,0
466,574.13,0,0
467,114.87,0,0
468,716.14,0,0
469,613.46,0,0
470,1154.18,0,0
471,822.56,0,0
