Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm),Event Type
176.23,0.0,0.0,0
114.68,0.0,0.0,0
142.61,0.0,0.0,0
705.37,0.0,0.0,1
237.69,212.2,209.23,0
571.91,0.0,0.0,1
259.46,0.0,0.0,1
85.61,0.0,0.0,0
130.66,0.0,0.0,0
431.3,0.0,0.0,1
103.59,0.0,0.0,0
103.25,0.0,0.0,0
161.72,0.0,0.0,0
41.25,0.0,0.0,0
913.66,189.87,0.0,1
231.51,0.0,0.0,0
129.9,0.0,0.0,0
82.11,0.0,0.0,0
124.02,0.0,0.0,0
301.91,121.39,0.0,1
347.44,0.0,0.0,1
109.72,0.0,0.0,0
586.92,68.95,0.0,1
121.59,0.0,0.0,0
149.36,0.0,0.0,0
184.22,133.46,0.0,0
592.76,0.0,0.0,1
219.82,100.63,0.0,1
558.34,0.0,0.0,1
291.84,152.02,0.0,1
118.98,0.0,0.0,0
239.55,108.64,0.0,0
147.72,0.0,0.0,0
109.68,0.0,0.0,0
200.8,164.47,0.0,1
537.98,0.0,0.0,1
402.17,131.03,123.94,1
479.08,230.66,0.0,1
117.92,73.0,0.0,0
164.85,0.0,0.0,0
110.27,0.0,0.0,0
318.19,211.92,0.0,1
40.31,0.0,0.0,0
117.63,0.0,0.0,0
264.77,0.0,0.0,0
525.7,0.0,0.0,1
322.51,176.29,0.0,1
729.85,0.0,0.0,1
351.05,0.0,0.0,1
744.64,59.65,0.0,1
761.85,0.0,0.0,1
155.89,0.0,0.0,0
79.6,0.0,0.0,0
176.18,172.19,0.0,0
750.41,122.28,0.0,1
70.41,0.0,0.0,0
288.71,0.0,0.0,1
529.42,0.0,0.0,1
267.29,0.0,0.0,0
786.17,0.0,0.0,1
61.63,0.0,0.0,0
716.7,168.74,0.0,1
426.44,0.0,0.0,1
92.58,0.0,0.0,0
187.89,0.0,0.0,0
98.46,0.0,0.0,0
253.66,0.0,0.0,0
412.41,165.23,0.0,1
229.2,0.0,0.0,0
135.34,0.0,0.0,0
159.72,0.0,0.0,0
336.53,155.28,0.0,0
682.4,345.15,0.0,1
755.64,167.37,0.0,1
779.62,212.17,0.0,1
625.26,73.9,0.0,1
171.87,0.0,0.0,0
161.1,0.0,0.0,0
813.21,224.3,0.0,1
455.82,82.89,0.0,1
64.92,0.0,0.0,0
337.99,0.0,0.0,0
668.87,0.0,0.0,1
119.64,0.0,0.0,0
583.02,68.93,0.0,1
367.49,183.71,0.0,1
379.58,339.26,0.0,0
199.65,0.0,0.0,1
42.76,0.0,0.0,0
936.3,170.08,0.0,1
210.29,204.04,0.0,0
690.45,98.95,0.0,1
85.36,0.0,0.0,0
463.4,0.0,0.0,1
415.48,162.12,0.0,1
285.33,111.72,0.0,0
157.78,135.27,0.0,0
184.23,0.0,0.0,0
570.46,260.21,200.52,1
130.6,0.0,0.0,0
802.69,38.21,0.0,1
151.03,0.0,0.0,0
836.27,0.0,0.0,1
393.17,0.0,0.0,0
459.09,129.86,0.0,1
378.69,53.92,0.0,1
366.58,0.0,0.0,1
114.73,0.0,0.0,0
119.49,0.0,0.0,0
41.54,0.0,0.0,0
450.91,0.0,0.0,0
448.07,0.0,0.0,1
49.35,0.0,0.0,0
483.61,171.27,0.0,1
378.31,0.0,0.0,1
417.53,140.76,0.0,1
371.18,0.0,0.0,1
67.06,0.0,0.0,0
661.9,0.0,0.0,1
48.6,0.0,0.0,0
106.11,73.05,43.34,0
150.1,0.0,0.0,0
334.21,71.8,0.0,1
564.85,345.42,111.55,1
186.2,0.0,0.0,0
756.77,255.14,191.71,1
74.4,0.0,0.0,0
465.93,0.0,0.0,1
193.98,0.0,0.0,0
608.25,336.75,150.76,1
167.57,152.46,0.0,1
159.36,83.08,0.0,0
326.62,0.0,0.0,0
161.79,0.0,0.0,0
90.43,0.0,0.0,0
127.72,0.0,0.0,0
431.49,50.23,0.0,1
788.15,118.14,0.0,1
487.2,0.0,0.0,1
101.24,0.0,0.0,0
305.8,268.26,0.0,1
74.27,0.0,0.0,0
136.65,0.0,0.0,0
643.4,0.0,0.0,1
615.54,190.22,0.0,1
535.43,157.98,0.0,1
673.4,0.0,0.0,1
179.51,137.61,0.0,0
230.06,91.18,0.0,1
250.77,0.0,0.0,0
194.33,101.05,0.0,0
176.71,0.0,0.0,0
111.3,0.0,0.0,0
719.74,0.0,0.0,1
1120.88,0.0,0.0,1
606.73,0.0,0.0,1
486.32,296.17,80.83,1
102.34,0.0,0.0,0
554.39,0.0,0.0,1
354.49,135.9,0.0,1
657.89,186.48,0.0,1
196.01,96.81,0.0,1
222.47,0.0,0.0,0
373.32,248.36,0.0,1
242.0,0.0,0.0,0
175.89,0.0,0.0,0
147.35,95.16,0.0,0
433.66,0.0,0.0,1
356.97,0.0,0.0,1
397.11,118.79,0.0,1
531.61,88.34,0.0,1
127.21,0.0,0.0,0
99.15,0.0,0.0,0
338.85,183.53,182.76,1
198.99,181.98,0.0,1
395.88,92.05,0.0,1
212.4,0.0,0.0,0
739.22,251.64,218.56,1
109.4,0.0,0.0,0
128.63,0.0,0.0,0
82.67,0.0,0.0,0
506.66,0.0,0.0,0
717.5,0.0,0.0,1
203.52,0.0,0.0,0
286.85,0.0,0.0,1
